EventDate,ProjName,ProjNum,ProjLoc,EmergencyLevel,HSEAdvisorInvestigator,HSEIncidentDetails,Client,CauseAnalysis,UnsafeAct,UnsafeCond,EmployeeInvolved,Classification,RecordableFAMARWCLTI,WCBCase,ModifiedDays,BodyPart,EquipmentNumber,CACompleted,SignOff
2019-01-08,Chinook 3D,321458,"Fort McMurray, Alberta, Canada",Med,Beaton,Failure to recognize potential risk,IGC,Failure to recognize potential risk,Yes,Yes,Kevin Noneult,Equipment,RWC,Yes,2,Foot,None,No,Yes
2019-01-09,Chinook 3D,321458,"Fort McMurray, Alberta, Canada",Low,Beaton,Improper inspection / audit protocol,Cenovus,Improper inspection / audit protocol,Yes,Yes,Jun Kim,Non Comp,None,None,None,None,Unit - 4968,Yes,Yes
2019-01-16,Chinook 3D,321458,"Fort McMurray, Alberta, Canada",Med,Beaton,Improper level of supervision,Cenovus,Improper level of supervision,Yes,Yes,Colin McLeod,People,FA,None,None,Knee,None,No,No 
2019-01-16,Chinook 3D,321458,"Fort McMurray, Alberta, Canada",Low,Beaton,Failure to recognize potential risk,Outsource,Failure to recognize potential risk,Yes,Yes,Chad Johnston,Near Miss,FA,Yes,None,Back,None,No,No
2019-01-19,Chinook 3D,321458,"Fort McMurray, Alberta, Canada",Med,Beaton,Failure to recognize potential risk,None,Failure to recognize potential risk,Yes,Yes,K. Polachek,Equipment,None,Yes,None,None,Unit - 1222,No,Yes 
2019-01-19,Chinook 3D,321458,"Cold Lake, Alberta, Canada",Low,Porter,Three workers were hit for room violations of the client D&A policy,Cenovus,Three workers were hit for room violations of the client D&A policy,Yes,Yes,None,Environment,MA,Yes,4,None,None,Yes,No
2019-01-23,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Low,Porter,Worker was driving to the office when he had to swerve to avoid hwy debris,None,Worker was driving to the office when he had to swerve to avoid hwy debris,Yes,Yes,John Pilkey,Environment,None,Yes,None,None,PersoNonel,No,No
2019-01-25,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Med,Porter,Worker blacks out and hits his head on the camp room desk,Synterra,Worker blacks out and hits his head on the camp room desk,Yes,Yes,James Leclair,Near Miss,LTI,Yes,7,Head,None,No,Yes 
2019-01-26,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Med,Porter,Improper level of supervision,Cenovus,Improper level of supervision,Yes,Yes,R. Chaumont,Near Miss,LTI,Yes,None,Head,186835 Batt,Yes,Yes
2019-01-29,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",High,Porter,Restricted communication,Synterra,Restricted communication,Yes,Yes,Ed Gregory,People,LTI,Yes,None,Head,veh 4668,Yes ,No
2019-01-30,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Low,Porter,Improper equipment maNonegement / mainteNonence,Cenovus,Improper equipment maNonegement / mainteNonence,Yes,Yes,M. McFarlane,Equipment,LTI,Yes,7,None,86948,Yes,No 
2019-01-30,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Low,Porter,Failure to recognize potential risk,LXL,Failure to recognize potential risk,Yes,Yes,Chris Rogers,Investigation,LTI,Yes,None,None,3053,No ,No 
2019-01-31,Bear Trap 2D,351245,"Cold Lake, Alberta, Canada",Low,Porter,Failure to recognize potential risk,LXL,Failure to recognize potential risk,Yes,Yes,Jamie Hodder,Environment,LTI,None,None,None,Veh 6528,No,No
2019-02-02,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",High,King,Improper level of supervision,LXL,Improper level of supervision,Yes,Yes,Phil Bradbury,Equipment,LTI,None,None,None,None,No,No
2019-02-03,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,King,Failure to recognize potential risk,Cenovus,Failure to recognize potential risk,Yes,Yes,Matt Chamberlain,Equipment,LTI,None,None,Torso,None,No,No
2019-02-04,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,King,Unfit for duty physically / mentally,LXL,Unfit for duty physically / mentally,Yes,Yes,Zach Mitchell,Non Comp,LTI,None,None,None,None,No,Yes
2019-02-05,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",High,King,Failure to recognize potential risk,IGC,Failure to recognize potential risk,Yes,Yes,Richard Chaumont,Environment,LTI,None,None,None,4672,No,Yes
2019-02-06,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Med,King,Improper level of supervision,Cenovus,Improper level of supervision,Yes,Yes,Scott Graychick,Environment,LTI,None,8,None,Box# - 8390 & 182585,Yes ,Yes
2019-02-07,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Med,King,Improper equipment maNonegement / mainteNonence,None,Improper equipment maNonegement / mainteNonence,Yes,Yes,Kris Dash,Environment,LTI,None,None,None,Plate-4ws5-60,Yes,Yes
2019-02-07,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Fong,Improper equipment maNonegement / mainteNonence,Explor  ,Improper equipment maNonegement / mainteNonence,Yes,Yes,Olivier Dumais,People,LTI,None,6,None,4WS5-66,No,Yes
2019-02-08,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Fong,Failure to recognize potential risk,Explor,Failure to recognize potential risk,No,No,Sebastien Cormier,Near Miss,LTI,None,None,None,SN#-109337,Yes,Yes
2019-02-08,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Fong,Failure to recognize potential risk,Explor,Failure to recognize potential risk,No,No,Franco Labbe,Near Miss,LTI,None,None,None,MV-04,Yes,Yes
2019-02-09,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Fong,Failure to recognize potential risk,Explor,Failure to recognize potential risk,No,No,Chris Farley,Environment,MA,Yes,3,Foot,None,No,No
2019-02-09,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",High,Fong,Failure to recognize potential risk,Explor,Failure to recognize potential risk,No,No,Jason Duncan,Equipment,FA,None,None,None,MV-1085,Yes,Yes
2019-02-10,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Trotter,Improper inspection / audit protocol,RPS,Improper inspection / audit protocol,Yes,Yes,Chris Rogers,Environment,RWC,Yes,2,Foot,None,No,Yes
2019-02-11,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Trotter,Improper equipment management / maintenance,Suncor,Improper equipment management / maintenance,Yes,Yes,Jamie Hodder,Environment,None,None,None,None,Unit - 4968,Yes,Yes
2019-02-12,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Low,Trotter,Improper equipment management / maintenance,Suncor,Improper equipment management / maintenance,Yes,Yes,Phil Bradbury,People,FA,None,None,Knee,None,No,No 
2019-02-13,Fournier 3D,354138,"Chetwynd, British Columbia, Canada",Med,Trotter,Improper equipment management / maintenance,Suncor,Improper equipment management / maintenance,Yes,Yes,Matt Chamberlain,People,FA,Yes,None,Back,None,No,No
2019-02-13,CL Proper 3D,362154,"Fort McMurray, Alberta, Canada",Med,Graychick,Failure to recognize potential risk,Cenovus,Failure to recognize potential risk,Yes,Yes,Zach Mitchell,Non Comp,None,Yes,None,None,Unit - 1222,No,Yes 
2019-02-18,CL Proper 3D,362154,"Fort McMurray, Alberta, Canada",Med,Graychick,Failure to recognize potential risk,Suncor,Failure to recognize potential risk,Yes,Yes,Richard Chaumont,Environment,MA,Yes,None,Head,None,Yes,No
2019-02-25,CL Proper 3D,362154,"Fort McMurray, Alberta, Canada",Med,Graychick,Inadequate level of management commitment,Suncor,Inadequate level of management commitment,Yes,Yes,Scott Graychick,Non Comp,None,Yes,None,None,PersoNonel,No,No
2019-02-27,CL Proper 3D,362154,"Fort McMurray, Alberta, Canada",Low,Graychick,Restricted communication,Cenovus,Restricted communication,Yes,Yes,Kris Dash,Non Comp,LTI,Yes,None,Head,None,No,Yes 
2019-03-02,CL Proper 3D,362154,"Fort McMurray, Alberta, Canada",Med,Graychick,Improper equipment management / maintenance,NAH,Improper equipment management / maintenance,Yes,Yes,Olivier Dumais,Near Miss,LTI,Yes,None,Head,186835 Batt,Yes,Yes
2019-03-02,Foster Creek 3D,303210,"Foster Creek, Alberta, Canada",Low,Graychick,Improper inspection / audit protocol,Suncor,Improper inspection / audit protocol,Yes,Yes,Sebastien Cormier,Equipment,LTI,Yes,None,Head,veh 4668,Yes ,No
2019-03-03,Foster Creek 3D,303210,"Foster Creek, Alberta, Canada",Low,Graychick,Failure to recognize potential risk,Suncor,Failure to recognize potential risk,Yes,Yes,Franco Labbe,Near Miss,LTI,Yes,7,None,86948,Yes,No 
2019-03-03,Foster Creek 3D,303210,"Foster Creek, Alberta, Canada",Med,Graychick,Failure to recognize potential risk,RPS,Failure to recognize potential risk,Yes,Yes,Chris Farley,Equipment,LTI,Yes,None,None,3053,No ,No 
2019-03-03,Foster Creek 3D,303210,"Foster Creek, Alberta, Canada",Low,Graychick,Failure to recognize potential risk,Suncor,Failure to recognize potential risk,Yes,Yes,Jason Duncan,Environment,LTI,None,None,None,Veh 6528,No,No
2019-03-04,Simmie North 2D,395487,"Simmie, Saskatchewan, Canada",Med,McFarlane,Inadequate level of management commitment,Suncor,Inadequate level of management commitment,Yes,Yes,Chris Rogers,Community,LTI,None,None,None,None,No,No
2019-03-10,Simmie North 2D,395487,"Simmie, Saskatchewan, Canada",Low,McFarlane,Unfit for duty physically / mentally,RPS,Unfit for duty physically / mentally,Yes,Yes,Jamie Hodder,Equipment,LTI,None,None,Torso,None,No,No
2019-03-18,Simmie North 2D,395487,"Simmie, Saskatchewan, Canada",Med,McFarlane,Unfit for duty physically / mentally,RPS,Unfit for duty physically / mentally,Yes,Yes,Phil Bradbury,Equipment,LTI,None,None,None,None,No,Yes
2019-03-20,Simmie North 2D,395487,"Simmie, Saskatchewan, Canada",Med,McFarlane,Unfit for duty physically / mentally,RPS,Unfit for duty physically / mentally,Yes,Yes,Matt Chamberlain,People,LTI,None,None,None,4672,No,Yes
